Iteration,s_cur,w_cur,mu_cur,v,angle,Racecar X,"Racecar Y, Racecar heading"
1,74.22572613004158,0.31944603901327867,-0.7521381934865974,1.4840173890493895,0.24999999996489639,31.52260511064365,56.5,0.0
2,74.25030753655906,0.27731763672351356,-0.7521381934865974,1.0899785677303337,-0.05000000003452523,31.585537694507035,56.5,0.0
3,74.29947034959403,0.236147293769913,-0.6544068701823935,1.1114628710545484,0.1444350483084537,31.649697443666128,56.50116600469946,0.009941065379331216
4,74.33269237731793,0.2020865137218539,-0.6458107748876047,1.226270054524635,0.15501510065689947,31.70814497048793,56.50344528364262,0.018537160674119757
5,74.37440608657025,0.17039065060849456,-0.556851730968905,1.249601262501752,0.1988907558783459,31.765002338282894,56.505697733494,0.027209141528214607
6,74.41661771120788,0.14330677197198854,-0.532707592807645,1.2571601230572849,0.23862896544393702,31.822488007082125,56.51121596731503,0.051353279689474944
7,74.46766999308129,0.12033601730651705,-0.4253361685142254,1.284551867154208,0.1730017693426037,31.8805917289197,56.52001226228404,0.08584943038216217
8,74.5195870269479,0.10326756216052357,-0.38436156920777753,1.2987385561114764,0.18283509270182569,31.939048406137488,56.532135033354976,0.12682402968861017
9,74.57184836637995,0.08906144987489616,-0.2848808271817078,1.3217111827407766,0.10196092256407883,31.99813895252102,56.54591262284651,0.16048198002510577
10,74.6338195008569,0.07882595488702719,-0.1936161280921671,1.3446306365985015,0.014994341396022709,32.057790925850846,56.56135136742318,0.1924333835394018
11,74.6966034286949,0.07147358303563729,-0.1707001241648256,1.362701796421622,0.013224763506654538,32.11827293197247,56.5775531202576,0.21534938746674342
12,74.76000801432555,0.06543650494027647,-0.10622884934329235,1.3900808621340603,-0.05734937336564547,32.179863950085625,56.59353149808813,0.2263969841978783
13,74.82415145107673,0.06058218051944491,-0.054999528733579606,1.4142219514950138,-0.10857611733126205,32.24269376422315,56.60875710532433,0.22945618131646117
14,74.88906302131048,0.056775480200266085,-0.018492305690232413,1.4389956342066639,-0.14137728419093104,32.30689445644967,56.62282929441407,0.22243817733162013
15,74.9544151422515,0.05227794434146801,-0.036422199695746116,1.4557516596606526,-0.09550199986361958,32.37262226514322,56.6349201602376,0.20450828332610663
16,75.02018396780608,0.04626418068816616,-0.02503373191933811,1.4824565313616496,-0.09137650847014347,32.43994496230187,56.64415642171809,0.17644112631750644
17,75.08649274778088,0.0416780511549083,-0.010061980444930896,1.5093104016382028,-0.09381774350792585,32.508496503523375,56.652388055685186,0.1555479544405964
18,75.16257854774877,0.03821382150415644,-0.026938142878503157,1.5323414028268094,-0.05490438095793063,32.57822889291429,56.66026878751387,0.13867179200702393
19,75.22944343122442,0.034680326672408376,-0.01056324388321217,1.5658343317508254,-0.06895247345748255,32.64923249599353,56.667252787505404,0.12215625776131048
20,75.306231959498,0.03307604204139222,0.00902191056485524,1.5956788908665538,-0.08361311206364547,32.72145314208818,56.67402777854398,0.11105750866408812
21,75.37390999904284,0.03160431620305449,0.022254427653877862,1.6229355801970438,-0.09053680293189163,32.79505064546197,56.679696578258806,0.0955531874526916
22,75.45162145365569,0.030379940788587117,0.0045768795615726,1.6472054944062613,-0.06380688998926626,32.87007257422552,56.68389566397497,0.07787563936038637
23,75.52977704642181,0.029401529492691314,0.013742854312776664,1.6715945717114558,-0.07611748798396367,32.9464834041397,56.686827453425806,0.06026268276597802
24,75.60838356998806,0.029334407001994234,0.0266522502966704,1.6948513582714297,-0.09188681443609892,33.02421672866801,56.68931979637885,0.0483064927520066
