Iteration,s_cur,w_cur,mu_cur,v,steering angle,Racecar X,Racecar Y
1,74.21765270655538,0.3357789464090033,-0.7521381934865974,1.421132689282624,0.24999999999980974,31.499922599438076,56.5
2,74.22572613004158,0.29513779893005426,-0.7520127855706602,1.0257709666748376,-0.05000000000018992,31.558389951449975,56.5000117975581
3,74.27488894307655,0.2574076394479156,-0.6499343690970725,1.0675339924625407,0.05244075765612202,31.618036146155035,56.50183728669072
4,74.30766415176653,0.23069962437633396,-0.6375179143480958,1.1968620278801883,0.04864653149289927,31.6620531101018,56.50463134847272
5,74.34937786101885,0.19455673802549966,-0.6296989961858261,1.2122770016110263,0.22820528422011416,31.726997021410874,56.507900952167354
6,74.3827488284207,0.17069703505343328,-0.5431147893384898,1.2381352081908306,0.17584248811070466,31.771080610838176,56.51051826284955
7,74.43363513849901,0.14009173076300718,-0.5175570172401178,1.2426438686048524,0.22531521855314574,31.838405646133875,56.517264840682095
8,74.47617870672686,0.12235295563221218,-0.419907893396275,1.2658419685647264,0.15317491484646184,31.883888700238945,56.524494633184545
9,74.53695035503634,0.10297632005778892,-0.307812699059248,1.2874151708814308,0.07493667614413436,31.952665827849213,56.53897831180917
10,74.58955440480194,0.09002078539925935,-0.2783378071059137,1.303428523118431,0.08910329591309551,32.010771193080274,56.552707731147
11,74.65152553927888,0.07800373226916993,-0.20247676295425965,1.3301855699860576,0.028518339489312247,32.07004416712737,56.56604595334412
12,74.6966034286949,0.07107883450724423,-0.19066941234639412,1.3437629338874921,0.03917542434223502,32.11812030300132,56.57707359186146
13,74.76917136243286,0.061735348389136156,-0.12928401824662084,1.373980617069868,-0.015886061014560034,32.19154894316718,56.593449483364495
14,74.83331479918404,0.05620635560759377,-0.07251561734202872,1.3991496676433828,-0.07394571615406703,32.25372856713729,56.60772464427987
15,74.89835439166488,0.05314012247833947,-0.028164890191763714,1.4249363006746132,-0.12059089432584352,32.3170577147677,56.621843600931086
16,74.9638106887593,0.049236706267738295,-0.04131927246107647,1.4424015851931018,-0.08207202034537614,32.3819577388965,56.63391288588217
17,75.02965665065962,0.044558409889280004,-0.022095636149570108,1.4706820993563656,-0.09307596163917357,32.448360641591705,56.64396815643414
18,75.09596543063442,0.040989125648931736,-0.0030069984243707992,1.498893972557986,-0.10302156369444451,32.51601798298332,56.65316282111767
19,75.16257854774877,0.03820211762693197,-0.019815667064873033,1.521934648481626,-0.0650720870104772,32.58496429712097,56.66152078524422
20,75.23904199725862,0.03513216848834018,-0.008183534006219961,1.556241300442258,-0.07463747285421009,32.65534875566949,56.66819088317967
21,75.306231959498,0.032087870409638126,0.005022692881091473,1.5849623278157006,-0.07486003632895497,32.72704463970692,56.67403956653307
22,75.3642417076793,0.03078696500498924,0.019948432055773235,1.6086517451200257,-0.0865110434805424,32.78542370765641,56.678008055785355
23,75.45162145365569,0.028824985001336085,-0.0011063341627948198,1.6381205728987163,-0.05181631671575884,32.87472738814731,56.682572761444405
24,75.52977704642181,0.027213947215608554,0.008155939689880043,1.6635378770286164,-0.06275538121555879,32.95069215778712,56.68503919554736
25,75.60838356998806,0.026680978347153116,0.021137682012105863,1.6868614301803369,-0.0771542055648561,33.027993535015185,56.68708065108134
26,75.68752086329852,0.027115669599245114,0.03261806396561173,1.7099115264536537,-0.09262657916393202,33.10660180367816,56.688483357965964
27,75.76718693548226,0.0273349726613267,0.03608746420524067,1.7333754615309065,-0.09682494399640748,33.18652317560587,56.688158405470105
28,75.82721595702246,0.027477036230815852,0.02094797207879573,1.7511245979563597,-0.07880453507640077,33.2513432714676,56.686660633050785
29,75.92785202679663,0.026029136522121025,0.01220882266237,1.777671903925354,-0.06712863000700546,33.34995840077555,56.68178933206138
30,75.9986506413196,0.024525951603935694,0.013178968424107929,1.7946580694894987,-0.06635739271179228,33.41655436704979,56.67709460767638
31,76.0801166782609,0.022904791799402642,0.00938070698260951,1.8154816162637915,-0.05710447629610721,33.50074902706395,56.66985590388745
32,76.18247332807637,0.02014480607020311,-1.8051721733858273e-05,1.840268303403867,-0.03845582650038386,33.60307853922939,56.658897532763916
33,76.25452088414798,0.018221281987989245,-0.011087973110843752,1.8564099053067404,-0.022442653933063873,33.672102492768836,56.65081092580965
34,76.35790300411347,0.016059026602235578,-0.01176505559532437,1.8806781758644655,-0.018859824463082403,33.776879615710435,56.63766995228293
35,76.45140527502815,0.014640537894006678,-0.005511621307001668,1.9009940598269872,-0.02452291148789633,33.865392390810676,56.626505133364546
36,76.54529944626721,0.014629047547648205,0.00016761444479307386,1.9210570373572544,-0.03273874466034537,33.95498200648688,56.61499897776802
37,76.62904261123381,0.014217096617149483,0.003980227951077886,1.940768389752344,-0.03608068537844829,34.04560309105827,56.60297022477027
38,76.7235639140002,0.012849277951699519,-0.0003995336720774567,1.9601293153267045,-0.02665489536564266,34.137095031609405,56.589450765172
39,76.81838300914896,0.010953480288695536,-0.007280120354146824,1.9791824839701961,-0.015050548825334102,34.22941984366123,56.57444237296087
40,76.91341461591237,0.009292458165723362,-0.008880238294356246,1.9979044356561468,-0.01192165123540197,34.32271944672494,56.55899798544321
41,77.00861194997586,0.007785199257141834,-0.010509043089412806,2.016289474813978,-0.007545293399442139,34.41697760597927,56.543139933185685
42,77.10392760202546,0.006497196703697009,-0.01320528924585851,2.0343613260552273,-0.0030589884376909966,34.51215492084314,56.52674820650883
43,77.19931380794107,0.00619833446245546,-0.017827242629850915,2.052132427450075,0.00013257531793606486,34.60822077649213,56.50975871058179
