Iteration,s_cur,w_cur,mu_cur,v,angle,Racecar X,"Racecar Y, Racecar heading"
2,74.21765270655538,0.3357789464090033,-0.7521381934865974,1.0000000000088485,-0.2954443168894343,31.499922599438076,56.5,0.0
3,74.22572613004158,0.295329658535411,-0.7521381934865974,1.2479779128885722,0.05796816714451,31.55807961251452,56.5,0.0
4,74.25850133873156,0.266147720887703,-0.7575000656179953,1.2479779128885722,0.05796816714451,31.601894886952543,56.4993756219909,-0.005361872131398182
5,74.30766415176653,0.220082080959336,-0.7012372574312438,1.1863248472144134,0.13835487629461324,31.66575600319588,56.493830626844506,-0.03688932186951923
6,74.33269237731793,0.1826962081267438,-0.7147193617113863,1.2103748643139702,0.2956924099147879,31.72086861396485,56.488751985534,-0.05037142614966174
7,74.37440608657025,0.14838158841302806,-0.6217560470942134,1.2170684614113259,0.34331021495953956,31.77714199086152,56.4873254101325,-0.03769517459709373
8,74.41661771120788,0.12030019486500634,-0.5817165118488079,1.230629327372403,0.39411042369235466,31.83418076057433,56.49139600096359,0.002344360648312005
9,74.46766999308129,0.09872551153277641,-0.45143252644133813,1.262451202801528,0.29262680904497296,31.89134309589977,56.5012659824775,0.05975307245504981
10,74.5195870269479,0.08507643097856378,-0.383491842840062,1.288263378043329,0.24241676722638286,31.948192548300334,56.51635809762005,0.12769375605632588
11,74.58070138559094,0.07561893903810367,-0.2596940670748298,1.3116017118865813,0.1107267534167913,32.00519879146141,56.53439169987808,0.18566874013198367
12,74.64267252006789,0.0697895614037935,-0.15489684947034066,1.3392191986327118,-0.018045729542460965,32.0628499205779,56.553760630805044,0.2311526621612284
13,74.6966034286949,0.06716280430574607,-0.12224942826691443,1.3597181386001447,-0.04644627372309488,32.12130997072266,56.574067087091294,0.26380008336465466
14,74.76000801432555,0.0637441832532145,-0.06270624161186111,1.3843423904714496,-0.1117818417884997,32.18159954644377,56.59234193869429,0.26991959192930987
15,74.82415145107673,0.05996555236183071,-0.023300690840624583,1.4093620681381154,-0.14726280046095003,32.2436992717469,56.60843718586021,0.26115501920941653
16,74.88906302131048,0.055857780227003224,-0.0006391418592119891,1.4341203022653817,-0.15965860789822928,32.307553738221294,56.62207009968929,0.24029134116264086
17,74.9544151422515,0.05065309022751797,-0.028248508831778096,1.453225947514161,-0.09819483328765324,32.373070442849354,56.63335802171351,0.21268197419007448
18,75.02018396780608,0.04487508915883292,-0.017215808858902282,1.4793657496649275,-0.09184875037221278,32.44006072551371,56.64276088237889,0.1842590493779423
19,75.08649274778088,0.04052554826604399,-0.0045729642887173405,1.5076747545832032,-0.09521650697342408,32.50831256259495,56.651198535778605,0.1610369705968097
20,75.15304499746732,0.03722072998903704,-0.02189807886078965,1.5313433050949872,-0.05825643694131236,32.57778092512879,56.65925026305248,0.1437118560247375
21,75.22944343122442,0.03404550399823919,-0.005948880101122711,1.5650357918697149,-0.06973378207289027,32.64854869596743,56.66649950067129,0.1267706215434002
22,75.29663339346381,0.03241415388024226,0.012337137601541315,1.5931394090609823,-0.08595812816940845,32.72058584894146,56.673366490889244,0.11437273570077393
23,75.37390999904284,0.031036329753623228,0.02448701534715836,1.6204406068088066,-0.09215801992510621,32.79403367617729,56.67904708306524,0.09778577514597198
24,75.45162145365569,0.03005973711717748,0.006971023105281304,1.6451054790432955,-0.06710815776760627,32.86890412466086,56.68339896638188,0.08026978290409492
25,75.51996070900717,0.02919482378110464,0.015720000823272517,1.6690115111454171,-0.0754591221671167,32.945171754565266,56.686458254245395,0.06223982927647395
26,75.59849140832426,0.028082880003459525,0.02242541625326311,1.6924295381447236,-0.08075332706820008,33.02279235310231,56.68820194864612,0.04407965870859893
27,75.67762870163472,0.027515200824539007,0.026795912010050493,1.7163304687697396,-0.08575736688543853,33.101754199595355,56.68853730607524,0.025456492005818836
28,75.75721923397941,0.026958548221214764,0.029222071158589102,1.738854988370248,-0.08805367412359649,33.18197732180611,56.687421058799046,0.006710628973829499
29,75.84729990171022,0.025911422050229903,0.010027815855223388,1.7620014087790827,-0.06193443164627246,33.263435166611906,56.68475710883869,-0.012483626329536503
30,75.92785202679663,0.024511200233270983,0.010403330787915888,1.7837543386938703,-0.06151208837662896,33.346048523088406,56.68052978088716,-0.031511301566361526
31,76.00883389593726,0.023889715971861996,0.015103359929518057,1.8059977611671072,-0.0695353774425184,33.429847669707335,56.67556718188506,-0.04450004515529507
32,76.10048318749622,0.02397757819092943,0.018717089007891374,1.8269216639472199,-0.07364889175720493,33.51476716440767,56.669716308252575,-0.05691480328549161
33,76.18247332807637,0.02270566617355805,0.014217913247823066,1.8483399579761894,-0.0616404233783716,33.600706587449025,56.66186280943741,-0.07583482500202023
34,76.27514089251862,0.021416674822695297,0.007104897368193086,1.8685966640513776,-0.05250711714838403,33.687579394542794,56.65200993632016,-0.09581118130991875
35,76.35790300411347,0.01913809467644989,-0.006647035621248243,1.8893395692213908,-0.03104020078927054,33.7754786454662,56.641164868198786,-0.10956311429936008
36,76.45140527502815,0.01752539532504493,-0.006601046909338493,1.9096613999737355,-0.032169266556219225,33.86439398683457,56.62940934131302,-0.12086982627351019
37,76.54529944626721,0.017175063611709594,-0.002204532206091514,1.9288191099315892,-0.03733792951053765,33.954366476658166,56.61747648318888,-0.1263583916829261
38,76.62904261123381,0.015227739951335025,-0.005205377119403387,1.9476984425017263,-0.024553494654966913,34.04520693899538,56.60420899985975,-0.13781544782496383
39,76.7235639140002,0.012834928600529679,-0.010647213500783348,1.9662907601202604,-0.013849301543352623,34.1368656681495,56.58950289763055,-0.15031880977399248
40,76.81838300914896,0.01091344428263393,-0.01085168684516713,1.984561455045892,-0.012372998692488722,34.22947996761531,56.57438709127006,-0.15621953359591623
41,76.91341461591237,0.009244100729241174,-0.011124905586876288,2.002517329277455,-0.00869644468791353,34.323032758964146,56.5588730626166,-0.16084822150104228
42,77.00861194997586,0.0076704631028135135,-0.012481604882409236,2.020172143426028,-0.0034554126760105645,34.41748535486367,56.542837963669164,-0.16523913623724631
43,77.10392760202546,0.006446307776556577,-0.015342872466506563,2.0375353299034398,0.0019115572150236828,34.512808116376604,56.52621728357406,-0.16982776154440263
44,77.20991505529625,0.005959033868390644,-0.019083092419961645,2.0552723430550004,0.0019235878445836758,34.60901550728055,56.50904126500986,-0.17399818969215475
45,77.30532338426454,0.0024208780567109593,-0.016221847302362313,2.071996004735116,0.004021321318239189,34.706236474971945,56.492259436493626,-0.17113694457455544
46,77.40069996575328,0.002587512533721539,-0.012697966971519925,2.0885132514682634,-0.004445631581601972,34.80445455836708,56.4759252812913,-0.16674944228036573
47,77.50657697262143,-0.003026527230529673,-0.010124540008811245,2.104731770287678,0.01009630475260098,34.90363606360549,56.459948758798205,-0.16202189906709233
48,77.6017335993252,-0.0033087769854552103,-0.014696570731868697,2.120675656306467,0.019963338742420764,35.003639779170506,56.443559155501404,-0.1631289188518628
49,77.70727921496989,-0.002880433115398668,-0.016278007319925347,2.136949550335682,0.016496795866279508,35.10457267693876,56.42735049703563,-0.1599899363934825
50,77.81263560486126,-0.005178087578783291,-0.016834464891871903,2.1523100367799737,0.02500102124568252,35.206439260070276,56.411580125232696,-0.15543588471964245
51,77.91780996941306,-0.00716421770466052,-0.016951742792324254,2.1674683500103984,0.03239843779968083,35.309209019657494,56.396204013701634,-0.15055412865951048
52,78.02280934408371,-0.008573829445164874,-0.017098001993811618,2.1823701621006037,0.0373938467410412,35.41286107201451,56.381193133383405,-0.1457931303608089
53,78.12764060294049,-0.008826735602108863,-0.010788155361590057,2.1970144785363104,0.02141060547580338,35.51748767082742,56.36735360944726,-0.1346748295835918
54,78.23231046057158,-0.007740418864543976,-0.0024786467033899307,2.211999807980767,0.011832220869725454,35.62312251414536,56.35500335571718,-0.12165547966495739
55,78.33682547458572,-0.006776977564797484,-0.0007852903100320496,2.226124149614002,0.0094150458813065,35.72958478364249,56.342981429710434,-0.11535258075147616
56,78.44119204810819,-0.0070299432891628025,-0.00027823665783799356,2.2406129650001776,0.009709065562469428,35.8368778253392,56.33130296637702,-0.11033740965326924
57,78.55582921878057,-0.0069135825590258574,0.0004326471253004449,2.254852615432907,0.008654351620600484,35.945003419373144,56.320070888123034,-0.10522105326372369
58,78.65990432732109,-0.006019102293620972,0.0010999001444735867,2.2688587119480577,0.004526420644481938,36.05394566717815,56.30928412874828,-0.1002521112422168
59,78.77423688463907,-0.005716278062404722,0.00207184517957959,2.2826327182817434,0.00248417621714372,36.16369315588712,56.298984949134926,-0.09508336585958534
60,78.87804666872778,-0.006643168766305187,0.0030120393808856782,2.296185713497723,0.004303182587413348,36.27422923295411,56.28916013028585,-0.09005231925837645
61,78.99210241020926,-0.004609613220871863,0.00038359140196897457,2.3095007169751223,0.0011626656985287238,36.38554215338181,56.27984875777081,-0.08482093391305259
62,79.1060242689337,-0.003354960541166614,0.001710215559680428,2.32210261561148,-0.004953637738090379,36.497594881418884,56.27103809491765,-0.07972723813217211
63,79.21981921300093,-0.002593337920270053,0.0017970820166528512,2.3350209495801986,-0.0011710653017728018,36.61038035197331,56.262620788408626,-0.07598306807197044
64,79.33349402945794,-0.002937755814812823,-0.005411842727455429,2.3472097915824692,0.0135924494952017,36.72378927457446,56.25352218814249,-0.07964531058175187
65,79.44705532947397,-0.004249869057587022,-0.012503568711728974,2.359710777031246,0.02179080909374508,36.83783154744744,56.24385374358602,-0.08330178978662264
66,79.56050115360966,-0.005746972246761403,-0.012134320575739377,2.371990042441791,0.022870682362978373,36.95259408911487,56.23474567140567,-0.07960950588759654
67,79.67384711823908,-0.007647328559889161,-0.01008201195544789,2.383981833681345,0.02657507742452692,37.0680664752936,56.22624948366412,-0.07434711030908339
68,79.79738952682791,-0.0076100242913626085,-0.007927132064361686,2.395261728298003,0.02353655571974779,37.18421117084101,56.2183113758549,-0.06909579304723247
69,79.91054684723596,-0.007563175404903469,-0.005450125436198938,2.406347484912858,0.020421718083007728,37.301011766760006,56.210965445782044,-0.06363666318384655
70,80.03389916040663,-0.009217986805518929,-0.00575194371722354,2.417239433107514,0.02640761459924992,37.418452853873,56.20419525418606,-0.05831965909410933
71,80.14689271230952,-0.007743592924129214,-0.002876793567025082,2.428328328563984,0.01798236767556222,37.53653903884038,56.19803682388787,-0.05280896473518772
72,80.27008091980528,-0.008556524523567628,-2.8534294218118816e-05,2.4391967197848916,0.01688424628682219,37.65525912038652,56.192473492003096,-0.047441786786999424
73,80.3829294411774,-0.0072050284172287885,0.0031321321928516888,2.449448151808971,0.008516054535149422,37.77458285124057,56.18754288089474,-0.04187932216276405
74,80.50596963221268,-0.005998591644213765,0.0062650842063276535,2.4595437038852133,0.00033979878294918334,37.89449140907378,56.18322833154832,-0.036462155926394034
75,80.6289483464067,-0.005745741008214532,0.009707745638223297,2.469831697112421,-0.0047085723352228,38.01498808787939,56.179565550696644,-0.03085329666601424
76,80.74162965973464,-0.005830571475984822,0.01089724166532946,2.4795281987207805,-0.0016767171892330419,38.136045610343054,56.17651207740327,-0.025687033854361795
77,80.86450704640625,-0.004248347633962891,0.00616986053905455,2.4894312695963317,0.005842831109359565,38.25763638590129,56.173015501298735,-0.02860456280504511
78,80.9873405755454,-0.003643728134462818,-0.0004608395395413467,2.499127728822878,0.009723177382897135,38.37974559515169,56.16885102421219,-0.03354486197381703
79,81.1101313813459,-0.0034358764672292024,0.0009070761625036283,2.508644101734158,0.0015084324271114934,38.50239730661205,56.1651051010584,-0.030606284853021994
80,81.2328911521961,-0.003514863938068893,0.004733601199434112,2.517628282489751,-0.0039494172147921955,38.62557164130337,56.1620298474575,-0.02532909912852002
81,81.35562542888975,-0.004264721617629158,0.006330658283776103,2.5268142160386162,0.0033020835892573408,38.7492633092089,56.159485372869234,-0.021191636177090765
82,81.48856542844867,0.004481634352328203,0.001757723022253188,2.5358024351789035,-0.018662400393921634,38.87344154081766,56.15637175825042,-0.024675218612137746
