x,y,v,r
72.45,9.950000000000001,1.89216643951435,0.0710471237943026
71.45,10.25,2.184332375191977,-0.0641166915264356
70.45,10.8,2.387518016368425,-0.0173109157129767
69.45,11.3,2.5631183865396125,0.028613227490988
68.45,11.700000000000001,2.6876322981879017,0.0288783883182588
67.45,12.15,2.799760375657765,-0.0264295268126549
66.45,12.55,2.900814782702457,0.0025572247668308
65.45,13.0,2.990646884809385,-0.0134601699439006
64.45,13.4,3.061720111685428,0.0263952172516037
63.45,13.850000000000001,3.124545440094121,-0.0023952159056842
62.45,14.3,3.1823005473250783,-0.0020491744241728
60.45,15.100000000000001,3.2843245743973046,0.0137670209104597
59.45,15.55,3.3219411394977048,0.0161961104835442
58.45,16.0,3.36244785089173,-0.0285075327931967
57.45,16.400000000000002,3.3940106931017744,0.0177690462334493
56.45,16.85,3.4275911131024035,0.002714582858467
55.45,17.25,3.4532192808919304,-0.0128740873606093
54.45,17.7,3.4765790045701426,0.013220039302858
53.45,18.1,3.501854450510222,-0.0186093393251197
52.45,18.55,3.521264176965216,0.0020203656932898
50.45,19.35,3.5551303522834186,-0.0131893585813646
49.45,19.8,3.569852270061678,0.0024522978379177
46.45,21.0,3.605941040207729,-0.0264725660644975
45.45,21.450000000000003,3.5835640670745708,-0.0026868876999589
44.45,21.85,3.4943882145168064,0.005004349237823
43.45,22.3,3.401971234656567,0.0047316332365338
42.45,22.700000000000003,3.2981842087378133,0.0083679848425224
41.45,23.1,3.1637960416699555,-0.0177584301924855
40.45,23.450000000000003,3.0111193721323226,0.0148375411808955
39.45,23.85,2.8509684625901843,-0.0309804053833902
38.45,24.200000000000003,2.6939817895024034,0.0211062178789094
37.45,24.6,2.6235307667908616,-0.0069930858195679
36.45,24.950000000000003,2.755603521848116,-0.0024276477279984
33.45,26.150000000000002,2.985533413774198,-0.002112122653241
31.450000000000003,27.05,2.6395960198870925,-0.1151022476972064
30.55,27.900000000000002,2.3678275990933404,-0.1782884851070246
30.400000000000002,28.900000000000002,2.394197927622532,-0.1743847546308181
30.450000000000003,29.900000000000002,2.5384989196085144,-0.0086085344738622
30.450000000000003,30.900000000000002,2.663714605792724,0.0231060981296906
30.55,31.900000000000002,2.7643968970660766,-0.0098454435203463
30.6,32.9,2.868523765814498,0.0139691674707526
30.700000000000003,33.9,2.950565167093753,0.0092521384097702
30.8,35.9,3.08276019201848,0.0067563003601243
30.900000000000002,36.9,3.145258526900997,0.0093041110386241
31.1,40.900000000000006,3.267736095778078,-0.0076795487530067
31.150000000000002,41.900000000000006,3.233729345296572,0.0029779503267083
31.150000000000002,42.900000000000006,3.1725750554224974,0.0026482316139315
31.200000000000003,43.900000000000006,3.073421715032759,-0.0096123839523507
31.200000000000003,44.900000000000006,2.9695260744934293,0.0151319887316375
31.3,46.900000000000006,2.6616266600035163,0.0327890139434845
31.35,47.900000000000006,2.4435207731433923,-0.0081946543836348
31.35,48.900000000000006,2.2214013246048747,-0.0065133248161451
31.400000000000002,49.900000000000006,1.944201485486862,-0.0126129339380706
31.450000000000003,50.900000000000006,1.6228252437600812,0.0004012865964607
31.450000000000003,51.900000000000006,1.5000000000001263,-0.0139166309725523
31.5,52.900000000000006,1.500000000000198,-0.0008533611830698
31.5,53.900000000000006,1.500000500629605,-0.0027019778985079
31.400000000000002,54.900000000000006,1.5447819720865512,0.3184277340622343
31.450000000000003,55.900000000000006,1.592104086522402,-0.2069630209044878
32.1,56.550000000000004,1.5817629130967878,-0.3982775676174169
33.1,56.6,1.8067600188736648,0.0528813209068371
34.1,56.550000000000004,2.1330723691210194,-0.0256621419714641
35.1,56.45,2.3035423518517644,0.0202531128128031
36.1,56.300000000000004,2.4871094103477382,0.0277499739476292
37.1,56.2,2.6070012711911468,0.0171828467649525
38.1,56.2,2.7382776475808,0.0051235618289143
39.1,56.150000000000006,2.8233139684350737,0.000600876129837
40.1,56.150000000000006,2.909602652418832,-0.0006929565953929
41.1,56.1,2.987383816426218,-0.0037655355368117
42.1,56.1,3.0667167122814853,0.0071286023956273
43.1,56.050000000000004,3.131037881885003,-0.014608103053959
44.1,56.0,3.1810402376778923,0.006403017585206
45.1,56.0,3.2198945513711745,0.0210367523319106
47.1,55.900000000000006,3.3128132808670747,-0.031091941804345
48.1,55.85,3.347627406952315,0.01508490423232
49.1,55.85,3.379769300350608,0.0035202104159782
50.1,55.800000000000004,3.40960702369788,-0.0130228296673563
51.1,55.75,3.4373750758811488,0.0011571599633699
52.1,55.75,3.456495500078073,-0.0070572799511532
53.1,55.7,3.479828969796398,-0.0028296268560874
54.1,55.650000000000006,3.501336798092507,0.0284201739446363
55.1,55.650000000000006,3.522226429602506,0.0034360532127679
56.1,55.6,3.5354104400586426,0.0160148181802405
57.1,55.6,3.535744677949197,-0.0287532915455281
58.1,55.550000000000004,3.511080746896147,-0.0142883160889964
59.1,55.5,3.458404429916328,-0.0072962073410517
60.1,55.5,3.382304881856706,7.051647053549173e-05
61.1,55.45,3.2957412366428294,0.0002823455013913
62.1,55.45,3.198085518616044,0.0003374619148573
63.1,55.400000000000006,3.0887093872154203,0.0396020275954335
64.10000000000001,55.400000000000006,2.966572603982664,-0.0008391265642227
66.10000000000001,55.300000000000004,2.799739622224682,-0.0317913153860646
67.10000000000001,55.25,2.9030090963730832,0.0259165845908243
68.10000000000001,55.25,2.98409896527787,-0.02027697205545
71.10000000000001,55.1,3.0554328773319464,-0.0454311627804081
72.10000000000001,55.0,2.898639219727269,-0.0681388885609843
73.10000000000001,54.550000000000004,2.5882130420018234,-0.135951343708935
