5.346532105348242858e+00,-6.932758846699704769e-01,3.054197160034176406e+00,1.945802839965823372e+00
5.346062471972715002e+00,-6.782419027103472331e-01,3.045346680384155569e+00,1.954653319615844653e+00
5.547630869617336202e+00,-6.566653432560716208e-01,3.036162973796228570e+00,1.963837026203771652e+00
5.749133644679577770e+00,-6.349402605566432101e-01,3.026659249862562184e+00,1.973340750137437594e+00
5.950563540323581257e+00,-6.130765771329030889e-01,3.016847527843883547e+00,1.983152472156116231e+00
6.151915371214166761e+00,-5.910832733384030480e-01,3.006568639713579572e+00,1.993431360286420428e+00
6.353189630248558650e+00,-5.689686491375215427e-01,2.995202693334686472e+00,2.004797306665313528e+00
6.554388114081160843e+00,-5.467408176350553317e-01,2.983561099634688407e+00,2.016438900365311593e+00
6.755512568683270658e+00,-5.244080392052790085e-01,2.971654523081664223e+00,2.028345476918335777e+00
6.956564691497833408e+00,-5.019787863366602654e-01,2.959493839841211837e+00,2.040506160158788163e+00
7.157546130129396111e+00,-4.794616747804359425e-01,2.946856298883565373e+00,2.053143701116434627e+00
7.358458481018406161e+00,-4.568653788493465262e-01,2.933033887577671806e+00,2.066966112422328194e+00
7.559303288650362163e+00,-4.341985524481332126e-01,2.918990523110740476e+00,2.081009476889259524e+00
7.760082045247544080e+00,-4.114697556887472185e-01,2.904737168641044143e+00,2.095262831358955857e+00
7.960796190893118407e+00,-3.886873869260402126e-01,2.890284625681605490e+00,2.109715374318394510e+00
8.161447114039813044e+00,-3.658596200346096450e-01,2.875345982857216320e+00,2.124654017142783680e+00
8.362036152357502417e+00,-3.429943467326882489e-01,2.858894459034556412e+00,2.141105540965443588e+00
8.562564593876558661e+00,-3.200991237466062622e-01,2.842274580262064809e+00,2.157725419737935191e+00
8.763033678386150882e+00,-2.971811245995882311e-01,2.825495924728052444e+00,2.174504075271947556e+00
8.963444599049276817e+00,-2.742470958022424909e-01,2.808567644230731020e+00,2.191432355769268980e+00
9.163798504198732431e+00,-2.513033172193736564e-01,2.791156403925583618e+00,2.208843596074416382e+00
9.364096499280771368e+00,-2.283555663888963416e-01,2.772371346062661779e+00,2.227628653937338221e+00
9.564339648915712644e+00,-2.054090865737135119e-01,2.753461184344844881e+00,2.246538815655155119e+00
9.764528979047149448e+00,-1.824685583363451769e-01,2.734433007924130354e+00,2.265566992075869646e+00
9.964665479153820726e+00,-1.595380744386792615e-01,2.715293319146348416e+00,2.284706680853651584e+00
1.016475010450041516e+01,-1.366211178852033137e-01,2.695946009209522654e+00,2.304053990790477346e+00
1.036478377840579590e+01,-1.137205429471200846e-01,2.675509331481131348e+00,2.324490668518868652e+00
1.056476739450906521e+01,-9.083855902647597347e-02,2.654976923290818913e+00,2.345023076709181087e+00
1.076470181901587964e+01,-6.797671724339988952e-02,2.634352749784191428e+00,2.365647250215808572e+00
1.096458789290900349e+01,-4.513589965534313408e-02,2.613640108235919968e+00,2.386359891764080032e+00
