Iteration,s_cur,w_cur,mu_cur,v,angle,Racecar X,Racecar Y, Racecar heading
2,74.21765270655538,0.3357789464090033,-0.7521381934865974,2.0,0.0,31.499922599438076,56.5,0.0
3,74.23391993221408,0.2943449348719577,-0.7521381934865974,1.5000000000000293,-0.29999999999998506,31.559596185773074,56.5,0.0
4,74.28308274524905,0.24980483833671485,-0.6643479355617248,1.50000000000001,1.2149209803843218e-14,31.627518082471926,56.5,0.0
5,74.316006893617,0.20435661248526474,-0.6743166257010942,1.5000000000001306,0.2999999999999537,31.697857479516426,56.498782425793706,-0.009968690139369652
6,74.37440608657025,0.15888894275677748,-0.6150898111726741,1.5000000000025553,0.44387010550654504,31.76908704055493,56.49446601145955,-0.031028938675554472
7,74.42512642485345,0.11764954197806098,-0.6074558033724511,1.500000000001158,0.44387010551690087,31.84119754932528,56.49259028371799,-0.02339493087533142
8,74.48486037077106,0.08380741622449302,-0.4927431815976515,1.5000000000997056,0.44387010532586346,31.913801586721807,56.49689098095723,0.0184424172987361
9,74.55431368312475,0.061949172859792866,-0.35060927037622314,1.505282051584879,0.32560853274273494,31.985803050368723,56.51003183492417,0.09475353683059068
10,74.6249664816459,0.05270409894660804,-0.19827540292838375,1.5512663167463394,0.13041046440910284,32.05603101320782,56.532064469448706,0.18777410870318506
11,74.6966034286949,0.05224239914070544,-0.11787248689098506,1.5698514312905174,0.036495353261805946,32.124845906412276,56.559478718539616,0.26817702474058386
12,74.76917136243286,0.05735719059907901,-0.006077605369898542,1.5959867759730593,-0.14177174025539427,32.1934180753088,56.589448936058,0.3265482281712725
13,74.84260616953844,0.06432910226690358,0.06699431928151434,1.6200251302464792,-0.2513697035823674,32.263213909926414,56.61876609796973,0.3514500293315552
14,74.9169371323737,0.07036119678306149,0.09979929883619487,1.642488375358296,-0.29834445536833354,32.33538793510525,56.64459876131143,0.3407297818580475
15,74.99199732828268,0.07240053045518,0.09223306763298167,1.660914614279948,-0.2839182105344052,32.41054528029603,56.66411771264338,0.2937079258698262
16,75.07702006492734,0.06935488303427557,0.06293388932264765,1.6790052130522795,-0.2391372071969662,32.488198067728206,56.67666622575167,0.22854382420817498
17,75.15304499746732,0.06284092987271526,-0.0028140944822667713,1.6917832219517142,-0.13395630374762782,32.56754183774618,56.6837987868516,0.1627958404032604
18,75.22944343122442,0.054902943861706834,-0.024453431661132896,1.7121880296948324,-0.09218401397900525,32.64809370917523,56.68749773998474,0.10826606998339001
19,75.306231959498,0.04733572338784357,-0.031467304677955,1.7368051848624924,-0.0605895949863382,32.729606650129526,56.68942846073662,0.0705682934212779
20,75.39324658176993,0.04110247830252683,-0.027300512955882983,1.7681193072501573,-0.04959693639521353,32.81208518930171,56.69078747022245,0.04599824684293067
21,75.47110408586457,0.03667674974013506,-0.017511815945820075,1.8010281140321371,-0.0511696762537263,32.89557240281093,56.691564673764525,0.02900801250738156
22,75.55922605866571,0.03241593359463677,-0.008697324224674396,1.8361648117311957,-0.052493207433348434,32.980220203290386,56.691309895100424,0.012956918230661847
23,75.64795221664329,0.028960525719862944,-0.0246931809779527,1.8649339036995287,-0.02093862061288358,33.066144225686585,56.68977218356206,-0.0030389385226164086
24,75.73728383097372,0.026120841657291838,-0.016651191909099694,1.894139836997995,-0.029931601413333078,33.153404317080714,56.68696199320101,-0.01799061191333109
25,75.81717398467858,0.02445404449699046,-0.0046557190672800175,1.9203925741661534,-0.038428129941128576,33.24203678313187,56.683742536310135,-0.02716716125203991
26,75.90762385121863,0.023610691997260926,0.006369917728763941,1.944784796468106,-0.05000036903717784,33.33199522912346,56.67990231212338,-0.03554471462551347
27,76.00883389593726,0.023574978743562437,0.015176917347498708,1.9698779217940874,-0.06128413037667377,33.423277326113826,56.67524128933594,-0.044426487737314405
28,76.10048318749622,0.022934494849340268,0.015465059907454837,1.9945830607445099,-0.058878715821730626,33.515799380022436,56.668763030865385,-0.060166832385928154
29,76.19272209564889,0.022003171163951604,0.012624876940972474,2.018961709044375,-0.0544659397810223,33.609504255563934,56.6604155271149,-0.07742786130887083
30,76.28545089670394,0.020814293364876894,0.007716473163815074,2.042064137931139,-0.04695077109290308,33.70430613089438,56.65026403794733,-0.09519960551429676
31,76.38900226353681,0.0195297424886786,0.0015231688353019024,2.065794331083802,-0.03849264144279166,33.80018623994481,56.638327437141804,-0.11274561052886979
32,76.48265790393499,0.017383585537922557,0.0006455978724675404,2.0882192504666137,-0.03389253268301253,33.89719510361321,56.62551516780054,-0.12350826160436704
33,76.5766883596926,0.01674942938237751,-0.0003078917483287924,2.1112789981703535,-0.03372741916864199,33.9953345879942,56.611824325267825,-0.13291796245388923
34,76.68155444610403,0.014554101667949506,-0.0024637874284079153,2.1330723691210194,-0.025662141971464145,34.09453455987491,56.59712061723925,-0.14213538370161702
35,76.78677664409938,0.013121052088951236,-0.006236215456438821,2.155488460990268,-0.020390869397891167,34.1947829605535,56.58131695946891,-0.15160406220718795
36,76.88172855900729,0.011843599663884086,-0.015637705446341243,2.176698425804871,-0.007373484305065313,34.296026737135485,56.564409128989524,-0.16100555219709037
37,76.9874481510825,0.008685152788080155,-0.017914539986691125,2.1976760329000826,0.0001760770351938383,34.398223165707925,56.54634321669773,-0.1706720713415282
38,77.09333260974054,0.0059724119707828816,-0.019676357055091742,2.218364613849289,0.006684281383149996,34.50148614629902,56.52787934944791,-0.1741612461329878
39,77.19931380794107,0.004137250361790093,-0.019886441657647858,2.239570297570751,0.008129535581971253,34.605905427701295,56.5094282829659,-0.17437133073554392
